,Need for Cognition,Need for closure,Susceptibility to persuasion,Skepticism,AI Expertise
6737a886c1ecd7898a1daf6e,0.9375,0.5,0.5833333333333334,0.8125,0.75
609a7d5287ca8fb83e0780d4,0.625,0.375,0.5833333333333334,0.4375,0.75
5ecc47c44bd36744c20ba660,1.0,0.875,0.4166666666666667,0.75,0.6875
66c0621f7e3dd5e2c196609e,1.0,0.875,0.3333333333333333,1.0,0.9375
65cb8b8e6eab3e66a7800ed1,0.75,0.5,0.5833333333333334,0.6875,0.625
5fe23f65878eaadb5e2c8ba1,0.5625,0.25,0.75,0.75,0.75
668686339518f67822c1ea6d,0.8125,0.75,0.6666666666666666,0.75,0.625
67444815330f14b5e3d35ce9,0.9375,1.0,0.5,0.75,0.75
5c4dae9a889752000156b1db,0.75,0.75,0.5833333333333334,0.875,0.625
6655dcc47c97e774bbb5fc47,0.8125,0.75,0.5833333333333334,0.9375,0.625
67656fbc7df8d83e73a30aa2,0.75,0.875,0.75,0.9375,0.875
60ee913de67c56daf5e842a9,0.625,0.625,0.6666666666666666,0.6875,0.25
614e79538497fb73c13121bb,0.6875,0.75,0.5833333333333334,0.875,0.5625
607ee7232fb723e021ea8bd5,0.5625,0.5,0.6666666666666666,0.75,0.75
652724785a23a93ff955efa2,0.6875,0.75,0.6666666666666666,0.8125,0.5
65e0c2e2e32784e64bf561d2,0.8125,1.0,0.9166666666666666,1.0,0.75
608a856faa8f685a0b6c77dc,0.9375,0.625,0.75,0.875,0.75
676d0c99a9ed98d39743e457,0.8125,1.0,0.75,1.0,0.4375
5ba988cc4a16920001d48564,0.625,0.625,0.75,0.6875,0.5625
65395648e2df8c95292d130d,0.8125,1.0,0.6666666666666666,0.9375,0.5625
606c6e9f7e86c0264ab3d7d8,1.0,0.75,0.75,1.0,0.9375
667ac5d08e51fbbd7e5e17e8,0.75,0.375,0.6666666666666666,0.875,0.6875
5fb665db2bfd3e385beb133d,0.75,0.75,0.5,0.9375,0.875
6690fff94333846440392f90,0.4375,0.75,0.75,0.5625,0.6875
610abfb0eb7add4ed3226a44,0.25,0.75,0.75,0.4375,0.5625
603fbb9e043c240cc15c0920,0.75,0.5,0.8333333333333334,0.75,0.25
671b88a41423fbafdc108002,0.1875,0.5,0.9166666666666666,0.6875,0.625
6663182fd9f3f8e243a441d2,0.875,0.75,0.75,0.75,0.6875
676c4677c53dac587c349e66,0.5,0.875,0.75,0.9375,0.75
6154e16c9500b0262bbcabaa,0.375,0.75,0.75,0.625,0.625
65c22c96757cf5102a2d8903,0.6875,0.5,0.75,0.75,0.5625
646b21b29b9c859da9e74e8f,0.4375,0.5,0.5,0.6875,0.5625
5dd90c31238a9189593ebd4d,0.8125,1.0,1.0,1.0,1.0
65e646da8809bd962f8da706,0.75,0.75,0.75,0.75,0.625
66a24cacf9d15dac2e51ce9d,0.875,0.875,0.8333333333333334,0.75,0.625
570e14beceaf25000d141f5c,0.5,0.75,0.5,0.75,0.5
5f070ba7da774e0534090fac,0.5625,0.5,0.6666666666666666,0.8125,0.5625
56e6f0dec89073000de74780,0.5625,0.375,0.8333333333333334,0.8125,0.75
673e70cb634dea88b4e7566a,0.5625,0.5,0.5,0.5625,0.5625
5cd083548702e10018e3b0a5,0.6875,0.375,0.6666666666666666,0.6875,0.5625
5b01e69aa496b300013d5b9b,0.6875,0.5,0.6666666666666666,0.625,0.5
65fadbc0d3a20ce12447512a,0.5625,0.625,0.75,0.75,0.5
61618a4c307226e9aa6d4070,0.625,0.375,0.75,0.6875,0.75
671819906e271c6bf6c0909f,0.5,0.5,0.75,0.5,0.5
671ddd063e7c74b377de755a,0.5625,0.5,0.9166666666666666,0.8125,0.5625
611539a4c507a7c1482dfcfc,0.6875,0.75,1.0,0.875,0.75
5f27a50af757e8160ed86782,0.625,0.5,0.8333333333333334,0.6875,0.6875
671678c8dd3bb344581f61d8,0.75,0.375,0.5833333333333334,0.6875,0.75
6683fbf28955188f10cf8237,0.625,0.375,0.5833333333333334,0.875,0.875
67268e0e1d1958b8a6a42e0d,0.6875,1.0,0.16666666666666666,0.9375,0.875
6655e3832dcc68a1d2ee9229,0.75,0.5,0.75,0.75,0.6875
66c61f02376e3c075f265c98,0.5625,0.75,0.25,0.9375,0.625
6502b248275d9097129692f6,0.75,0.5,0.6666666666666666,0.75,0.75
5a1aae2e10f454000177bb97,0.5,0.375,0.75,0.5625,0.3125
661a51225587ca83a6f23a5c,0.75,0.375,0.4166666666666667,0.75,0.8125
5f5985c9d9859b1e25df4f85,0.6875,0.75,0.5833333333333334,0.6875,0.6875
667d82b6a3d5fc4b23d30a03,0.75,0.75,0.6666666666666666,0.6875,0.625
66b1e0b7b5b01d4289b4260b,0.75,0.625,0.6666666666666666,0.625,0.5
5c8eb003f756d40018119b89,0.75,0.625,0.5833333333333334,0.8125,0.4375
611cfda46e28a6675bc39937,0.8125,1.0,0.4166666666666667,1.0,0.75
5d69678bf4d251001c0f81f3,0.6875,0.75,0.5833333333333334,0.6875,0.75
615b50fddd13935fa8395214,0.9375,0.5,0.5833333333333334,0.75,0.875
611086aa151462dc0ac8d02b,0.75,1.0,0.75,0.8125,0.6875
60a50457d02bfc23c02d4717,0.8125,0.75,0.4166666666666667,0.6875,0.25
60c13b9b993acbc810b08032,0.875,0.75,0.5833333333333334,0.75,0.6875
5f63a2bc08a0080c790f8eb6,0.5,0.625,0.75,0.625,0.4375
663636e1e732142a9c211523,0.6875,0.75,0.3333333333333333,0.8125,0.5625
602d561de3b7ea7653d45892,0.6875,0.375,0.6666666666666666,0.75,0.6875
66c96fb65f8a64d04cb5251e,0.6875,0.375,0.75,0.5625,0.5
676d25f8c1109f29de28ac0b,0.8125,0.5,0.75,0.625,0.6875
6658796332f386de21b5edb1,0.875,1.0,0.8333333333333334,0.8125,0.4375
6684639bd2cfbc08106a92cb,0.75,0.875,0.75,0.75,0.75
6651785a4e43904be4ff2d9f,1.0,0.875,0.8333333333333334,0.9375,1.0
66705e1f71d6574fd188bffb,0.1875,0.375,0.6666666666666666,0.8125,0.75
6522a8e9a3aa79c7e28e932d,0.75,0.75,0.4166666666666667,0.75,0.4375
6672d70c5675d16c732c7273,0.5625,0.625,0.5,0.5,0.5625
673c2f64434c71ae8abbd897,0.625,0.75,0.6666666666666666,0.75,0.75
66a8c8088a01a7d9368ffb95,0.75,0.625,0.5833333333333334,0.625,0.75
676a61aaabcdd609c86a3c22,0.625,0.625,0.5,0.75,0.625
66b246951b9aefec80b7158a,0.375,0.375,1.0,0.5625,0.875
651ac88823e71c05dbc1ff63,0.6875,0.625,0.6666666666666666,0.875,0.625
67280a9bc1dc22fd605195f7,0.8125,0.875,0.5833333333333334,0.8125,0.6875
6109bab29c25d05ba4c64323,0.75,0.75,0.75,0.9375,0.625
6740d090e161ea16b57a04fd,0.8125,0.875,0.4166666666666667,0.75,0.5625
6139d11e12004b36e50206d1,0.375,0.5,1.0,0.75,0.5625
60d1be6ac5e92d2ab630e89f,0.4375,0.375,0.75,0.625,0.625
65c7e8ec2fc3afbaa35438e2,0.5,0.75,0.8333333333333334,0.9375,0.75
60aa4b9356c591511cc09f5f,0.875,0.625,0.5833333333333334,0.75,0.5625
5e530e6150ee4031b4fbb27a,1.0,0.25,0.75,1.0,0.875
666c4136d4d20711d6a787aa,0.75,0.5,0.5833333333333334,0.6875,0.375
60e2fbb1eec0ddbbe525aa49,0.8125,0.75,0.3333333333333333,0.9375,0.5625
6723c0c8d1da817dccf02e6a,1.0,1.0,1.0,1.0,0.75
6151f68b450aec8ce5658985,0.4375,0.625,0.75,0.625,0.625
676356a7bcf153d1d3e68224,1.0,0.875,0.5833333333333334,0.875,0.5625
66756b98b57dc3e151a38741,0.5625,0.875,0.6666666666666666,0.9375,0.5625
6168525c53bae852d954b849,0.75,0.625,0.75,0.375,0.8125
66c0dbc9b0a233963bfac895,1.0,0.875,0.3333333333333333,1.0,0.75
66095ea2bebd1034a019c906,0.9375,0.625,0.5,0.8125,0.625
671b6d1bc21cb5010cdd96d1,0.9375,0.75,0.6666666666666666,0.875,0.6875
6088d0b3a7a37cd958b727c5,0.4375,0.625,1.0,0.9375,0.8125
6101327737f1cdc226011570,0.625,0.75,0.6666666666666666,0.75,0.375
674c7abb22ba9d7bfd02e91f,0.75,0.25,0.5833333333333334,0.8125,0.6875
66ae5b9b1f0070568886de66,0.8125,0.375,0.5833333333333334,0.6875,0.4375
654cf99238b53a792585986e,0.6875,0.875,0.5,0.5,0.625
67547860f3d14c0c963ae59d,0.375,1.0,0.8333333333333334,1.0,0.75
613af39692992acbacdbbbbc,0.9375,0.375,0.8333333333333334,0.6875,0.6875
615ec1104bc7df86650f06d3,0.75,0.75,0.6666666666666666,0.75,0.5
67373870735568b07e1cfd96,0.75,0.5,0.75,0.75,0.9375
66c73d97dade03083f9ec72c,0.5625,0.75,0.8333333333333334,0.75,0.8125
6120211d8e1eab16fcb7ad69,0.5625,0.5,0.5833333333333334,0.625,0.4375
673360818b5b7adc97b37846,0.875,0.875,0.9166666666666666,0.875,0.75
5f23c8b2be6a4e1a1481ba56,0.75,0.75,0.5833333333333334,0.75,0.5625
5c8406438d2bbf0017e4a416,0.625,0.625,0.6666666666666666,0.6875,0.4375
5c532d18b7cf140001d30260,0.8125,0.875,0.6666666666666666,0.75,0.4375
5fc7aa4fd06520000955403f,0.3125,0.625,0.75,0.5625,0.6875
60fb21e65840a0466aa574d3,0.75,0.5,0.75,0.6875,0.6875
6512b5180ab541a0603e7ada,0.4375,0.75,0.8333333333333334,0.875,0.8125
657f0595bb9bc3e55987fc4e,0.75,0.75,0.8333333333333334,0.75,0.5
614831813dc412ccc8e2f563,0.6875,0.625,0.75,0.875,0.875
66b71aa297e2e7c1856464bd,0.8125,0.5,0.5833333333333334,0.875,0.625
61088f5351df7edad3fa8c5f,0.875,0.75,0.6666666666666666,0.8125,0.75
6686f775fa4afbfd6bf45f91,0.75,0.125,0.8333333333333334,0.75,0.5625
5e31dab5eef5b31cbc35f867,0.625,0.5,0.75,0.8125,0.6875
6724aa8a3ee9b745294b5b50,0.5,0.25,0.75,0.5,0.375
672b796c37931aebfec285d9,0.5,0.375,0.4166666666666667,0.375,0.4375
66a63fd5eae42f430895d7bf,0.4375,0.625,0.5833333333333334,0.75,0.5
668be776cc2551e8279790a6,0.875,0.625,0.75,0.875,0.6875
6125bfc97c42f9bc6fdef701,0.8125,0.375,0.75,0.875,0.5625
62c6ad01d7ad711abdf2eb4c,0.25,0.5,0.8333333333333334,0.5,0.375
6550ea5723a7adbcc422790b,0.8125,0.75,0.75,0.6875,0.6875
668b1f12cacd66a9de9d5394,0.8125,0.375,0.3333333333333333,0.6875,0.1875
65c273252f46c0f1081a4d8d,0.8125,0.5,0.75,0.8125,0.6875
657da81227f847160ee8abd4,0.3125,0.5,0.9166666666666666,0.6875,0.5
54f844c0fdf99b2bd032e149,0.8125,0.375,0.75,0.75,0.5625
672726126113e6fb83b8d715,0.8125,0.5,0.75,0.625,0.5625
6761b75b920fb7e473140c6b,0.5625,0.75,0.6666666666666666,0.8125,0.8125
5c2004c3da51990001e165b2,0.8125,0.875,0.4166666666666667,0.5,0.75
5b23d88ac0c8ec0001a9411e,0.625,0.625,0.5,0.8125,0.625
66107a3619b2031a5256b327,0.625,0.5,0.25,0.6875,0.5
66f3ed62be0a3b807a0e502f,0.5,0.25,0.8333333333333334,0.625,0.875
60e7218db2691424068d718c,0.8125,0.5,0.5,0.6875,0.6875
66a7990001344d21d3016094,0.75,0.375,0.5833333333333334,0.8125,0.5
665df7d58501a55e990b773a,0.875,0.5,0.75,0.9375,0.75
6101d039131dc4fc34e3bfbd,0.625,0.25,0.75,0.8125,0.875
611117d79c57e6744e059bc4,0.625,0.875,0.5833333333333334,0.8125,0.6875
674093325aa2aee45b628637,0.6875,0.625,0.6666666666666666,0.6875,0.6875
66d32a13c502bbeb803d2499,0.75,0.75,0.25,0.75,0.5
66c33cf5425d52a1afcc8263,0.875,0.5,0.3333333333333333,0.875,0.5625
667a9bdad0e1a943ee3d04bb,0.5,0.375,0.5833333333333334,0.6875,0.625
6648bb870f1455b828041fac,0.75,0.625,0.5,0.8125,0.5
671526752de7c1bca617e1a7,0.4375,0.5,0.8333333333333334,0.5,0.8125
5ea07f2c55a2bd050fd8f70b,0.5,0.75,0.75,0.625,0.5625
671bb16313424a5056fa5c42,0.6875,0.625,0.8333333333333334,0.6875,0.5625
5fabca68273dd403ab40e361,0.6875,0.625,0.6666666666666666,0.875,0.875
677263c569e5abd57143ee7a,0.75,0.875,0.6666666666666666,0.6875,0.5
66a54af7261cf1fc1a5d89f3,1.0,1.0,0.4166666666666667,0.9375,0.9375
5fdac6ef252afc58740d5560,0.8125,0.625,0.6666666666666666,0.6875,0.6875
5bcdaa50bdb0060001d4a4a8,0.5,0.875,0.75,0.9375,0.5625
66a40b4759c9803f4503814d,0.625,1.0,0.75,0.875,0.5
66aa826226ace74112a5a24f,0.875,0.625,0.6666666666666666,0.9375,0.75
614083f44ae49152b80502a1,0.8125,0.625,0.5833333333333334,0.875,0.625
66912a8462eaad8d5bdb34be,0.625,0.75,0.8333333333333334,0.75,0.5625
67894339aa346efa2532bf8d,0.6875,0.625,0.5833333333333334,0.75,0.5625
