,PROLIFIC_PID,ExplanationPair,Need_for_Cognition,Need_for_closure,Susceptibility_to_persuasion,Skepticism,AI_Expertise,Domain,flipped_dim,MetricType,Evaluation
86,3,101101v111101,0.6875,0.375,0.6666666666666666,0.75,0.5,high,Length,Usefulness,1
87,3,110011v111011,0.6875,0.375,0.6666666666666666,0.75,0.5,high,Structure,Trustworthiness,1
88,3,110011v111011,0.6875,0.375,0.6666666666666666,0.75,0.5,high,Structure,Transparency,1
89,3,110011v111011,0.6875,0.375,0.6666666666666666,0.75,0.5,high,Structure,Usefulness,1
90,54f844c0fdf99b2bd032e149,000100v010100,0.8125,0.375,0.75,0.75,0.5625,low,Length,Trustworthiness,0
91,54f844c0fdf99b2bd032e149,000100v010100,0.8125,0.375,0.75,0.75,0.5625,low,Length,Transparency,1
92,54f844c0fdf99b2bd032e149,000100v010100,0.8125,0.375,0.75,0.75,0.5625,low,Length,Usefulness,1
93,54f844c0fdf99b2bd032e149,000101v010101,0.8125,0.375,0.75,0.75,0.5625,low,Length,Trustworthiness,0
94,54f844c0fdf99b2bd032e149,000101v010101,0.8125,0.375,0.75,0.75,0.5625,low,Length,Transparency,0
95,54f844c0fdf99b2bd032e149,000101v010101,0.8125,0.375,0.75,0.75,0.5625,low,Length,Usefulness,1
96,54f844c0fdf99b2bd032e149,000110v010110,0.8125,0.375,0.75,0.75,0.5625,low,Length,Trustworthiness,0
97,54f844c0fdf99b2bd032e149,000110v010110,0.8125,0.375,0.75,0.75,0.5625,low,Length,Transparency,1
98,54f844c0fdf99b2bd032e149,000110v010110,0.8125,0.375,0.75,0.75,0.5625,low,Length,Usefulness,0
99,54f844c0fdf99b2bd032e149,001000v011000,0.8125,0.375,0.75,0.75,0.5625,low,Length,Trustworthiness,1
100,54f844c0fdf99b2bd032e149,001000v011000,0.8125,0.375,0.75,0.75,0.5625,low,Length,Transparency,1
101,54f844c0fdf99b2bd032e149,001000v011000,0.8125,0.375,0.75,0.75,0.5625,low,Length,Usefulness,1
102,54f844c0fdf99b2bd032e149,001101v011101,0.8125,0.375,0.75,0.75,0.5625,low,Length,Trustworthiness,1
103,54f844c0fdf99b2bd032e149,001101v011101,0.8125,0.375,0.75,0.75,0.5625,low,Length,Transparency,1
104,54f844c0fdf99b2bd032e149,001101v011101,0.8125,0.375,0.75,0.75,0.5625,low,Length,Usefulness,1
105,54f844c0fdf99b2bd032e149,100100v100110,0.8125,0.375,0.75,0.75,0.5625,high,Detail,Trustworthiness,1
106,54f844c0fdf99b2bd032e149,100100v100110,0.8125,0.375,0.75,0.75,0.5625,high,Detail,Transparency,1
107,54f844c0fdf99b2bd032e149,100100v100110,0.8125,0.375,0.75,0.75,0.5625,high,Detail,Usefulness,1
108,54f844c0fdf99b2bd032e149,100111v110111,0.8125,0.375,0.75,0.75,0.5625,high,Length,Trustworthiness,0
109,54f844c0fdf99b2bd032e149,100111v110111,0.8125,0.375,0.75,0.75,0.5625,high,Length,Transparency,0
110,54f844c0fdf99b2bd032e149,100111v110111,0.8125,0.375,0.75,0.75,0.5625,high,Length,Usefulness,0
111,54f844c0fdf99b2bd032e149,101000v101010,0.8125,0.375,0.75,0.75,0.5625,high,Detail,Trustworthiness,1
112,54f844c0fdf99b2bd032e149,101000v101010,0.8125,0.375,0.75,0.75,0.5625,high,Detail,Transparency,1
113,54f844c0fdf99b2bd032e149,101000v101010,0.8125,0.375,0.75,0.75,0.5625,high,Detail,Usefulness,1
114,54f844c0fdf99b2bd032e149,101001v101011,0.8125,0.375,0.75,0.75,0.5625,high,Detail,Trustworthiness,1
115,54f844c0fdf99b2bd032e149,101001v101011,0.8125,0.375,0.75,0.75,0.5625,high,Detail,Transparency,1
116,54f844c0fdf99b2bd032e149,101001v101011,0.8125,0.375,0.75,0.75,0.5625,high,Detail,Usefulness,1
117,54f844c0fdf99b2bd032e149,110101v110111,0.8125,0.375,0.75,0.75,0.5625,high,Detail,Trustworthiness,0
118,54f844c0fdf99b2bd032e149,110101v110111,0.8125,0.375,0.75,0.75,0.5625,high,Detail,Transparency,1
119,54f844c0fdf99b2bd032e149,110101v110111,0.8125,0.375,0.75,0.75,0.5625,high,Detail,Usefulness,1
120,56e6f0dec89073000de74780,000100v000110,0.5625,0.375,0.8333333333333334,0.8125,0.75,low,Detail,Trustworthiness,1
121,56e6f0dec89073000de74780,000100v000110,0.5625,0.375,0.8333333333333334,0.8125,0.75,low,Detail,Transparency,1
122,56e6f0dec89073000de74780,000100v000110,0.5625,0.375,0.8333333333333334,0.8125,0.75,low,Detail,Usefulness,1
123,56e6f0dec89073000de74780,001100v001110,0.5625,0.375,0.8333333333333334,0.8125,0.75,low,Detail,Trustworthiness,1
124,56e6f0dec89073000de74780,001100v001110,0.5625,0.375,0.8333333333333334,0.8125,0.75,low,Detail,Transparency,1
125,56e6f0dec89073000de74780,001100v001110,0.5625,0.375,0.8333333333333334,0.8125,0.75,low,Detail,Usefulness,1
126,56e6f0dec89073000de74780,001110v001111,0.5625,0.375,0.8333333333333334,0.8125,0.75,low,Persuasiveness,Trustworthiness,0
127,56e6f0dec89073000de74780,001110v001111,0.5625,0.375,0.8333333333333334,0.8125,0.75,low,Persuasiveness,Transparency,0
128,56e6f0dec89073000de74780,001110v001111,0.5625,0.375,0.8333333333333334,0.8125,0.75,low,Persuasiveness,Usefulness,0
129,56e6f0dec89073000de74780,001111v011111,0.5625,0.375,0.8333333333333334,0.8125,0.75,low,Length,Trustworthiness,1
130,56e6f0dec89073000de74780,001111v011111,0.5625,0.375,0.8333333333333334,0.8125,0.75,low,Length,Transparency,1
131,56e6f0dec89073000de74780,001111v011111,0.5625,0.375,0.8333333333333334,0.8125,0.75,low,Length,Usefulness,1
132,56e6f0dec89073000de74780,010010v010110,0.5625,0.375,0.8333333333333334,0.8125,0.75,low,Formality,Trustworthiness,0
133,56e6f0dec89073000de74780,010010v010110,0.5625,0.375,0.8333333333333334,0.8125,0.75,low,Formality,Transparency,0
134,56e6f0dec89073000de74780,010010v010110,0.5625,0.375,0.8333333333333334,0.8125,0.75,low,Formality,Usefulness,0
135,56e6f0dec89073000de74780,100000v110000,0.5625,0.375,0.8333333333333334,0.8125,0.75,high,Length,Trustworthiness,0
136,56e6f0dec89073000de74780,100000v110000,0.5625,0.375,0.8333333333333334,0.8125,0.75,high,Length,Transparency,0
137,56e6f0dec89073000de74780,100000v110000,0.5625,0.375,0.8333333333333334,0.8125,0.75,high,Length,Usefulness,0
138,56e6f0dec89073000de74780,100011v101011,0.5625,0.375,0.8333333333333334,0.8125,0.75,high,Structure,Trustworthiness,0
139,56e6f0dec89073000de74780,100011v101011,0.5625,0.375,0.8333333333333334,0.8125,0.75,high,Structure,Transparency,0
140,56e6f0dec89073000de74780,100011v101011,0.5625,0.375,0.8333333333333334,0.8125,0.75,high,Structure,Usefulness,0
141,56e6f0dec89073000de74780,100100v101100,0.5625,0.375,0.8333333333333334,0.8125,0.75,high,Structure,Trustworthiness,1
142,56e6f0dec89073000de74780,100100v101100,0.5625,0.375,0.8333333333333334,0.8125,0.75,high,Structure,Transparency,1
143,56e6f0dec89073000de74780,100100v101100,0.5625,0.375,0.8333333333333334,0.8125,0.75,high,Structure,Usefulness,1
144,56e6f0dec89073000de74780,101011v111011,0.5625,0.375,0.8333333333333334,0.8125,0.75,high,Length,Trustworthiness,1
145,56e6f0dec89073000de74780,101011v111011,0.5625,0.375,0.8333333333333334,0.8125,0.75,high,Length,Transparency,1
146,56e6f0dec89073000de74780,101011v111011,0.5625,0.375,0.8333333333333334,0.8125,0.75,high,Length,Usefulness,1
147,56e6f0dec89073000de74780,111110v111111,0.5625,0.375,0.8333333333333334,0.8125,0.75,high,Persuasiveness,Trustworthiness,0
148,56e6f0dec89073000de74780,111110v111111,0.5625,0.375,0.8333333333333334,0.8125,0.75,high,Persuasiveness,Transparency,0
149,56e6f0dec89073000de74780,111110v111111,0.5625,0.375,0.8333333333333334,0.8125,0.75,high,Persuasiveness,Usefulness,0
150,570e14beceaf25000d141f5c,000000v000100,0.5,0.75,0.5,0.75,0.5,low,Formality,Trustworthiness,1
151,570e14beceaf25000d141f5c,000000v000100,0.5,0.75,0.5,0.75,0.5,low,Formality,Transparency,1
152,570e14beceaf25000d141f5c,000000v000100,0.5,0.75,0.5,0.75,0.5,low,Formality,Usefulness,1
153,570e14beceaf25000d141f5c,001110v011110,0.5,0.75,0.5,0.75,0.5,low,Length,Trustworthiness,1
154,570e14beceaf25000d141f5c,001110v011110,0.5,0.75,0.5,0.75,0.5,low,Length,Transparency,1
155,570e14beceaf25000d141f5c,001110v011110,0.5,0.75,0.5,0.75,0.5,low,Length,Usefulness,1
156,570e14beceaf25000d141f5c,010011v011011,0.5,0.75,0.5,0.75,0.5,low,Structure,Trustworthiness,1
157,570e14beceaf25000d141f5c,010011v011011,0.5,0.75,0.5,0.75,0.5,low,Structure,Transparency,1
158,570e14beceaf25000d141f5c,010011v011011,0.5,0.75,0.5,0.75,0.5,low,Structure,Usefulness,1
159,570e14beceaf25000d141f5c,010111v011111,0.5,0.75,0.5,0.75,0.5,low,Structure,Trustworthiness,1
160,570e14beceaf25000d141f5c,010111v011111,0.5,0.75,0.5,0.75,0.5,low,Structure,Transparency,1
161,570e14beceaf25000d141f5c,010111v011111,0.5,0.75,0.5,0.75,0.5,low,Structure,Usefulness,1
162,570e14beceaf25000d141f5c,011010v011011,0.5,0.75,0.5,0.75,0.5,low,Persuasiveness,Trustworthiness,0
163,570e14beceaf25000d141f5c,011010v011011,0.5,0.75,0.5,0.75,0.5,low,Persuasiveness,Transparency,0
164,570e14beceaf25000d141f5c,011010v011011,0.5,0.75,0.5,0.75,0.5,low,Persuasiveness,Usefulness,0
165,570e14beceaf25000d141f5c,100010v101010,0.5,0.75,0.5,0.75,0.5,high,Structure,Trustworthiness,1
166,570e14beceaf25000d141f5c,100010v101010,0.5,0.75,0.5,0.75,0.5,high,Structure,Transparency,1
167,570e14beceaf25000d141f5c,100010v101010,0.5,0.75,0.5,0.75,0.5,high,Structure,Usefulness,1
168,570e14beceaf25000d141f5c,100110v100111,0.5,0.75,0.5,0.75,0.5,high,Persuasiveness,Trustworthiness,1
169,570e14beceaf25000d141f5c,100110v100111,0.5,0.75,0.5,0.75,0.5,high,Persuasiveness,Transparency,1
170,570e14beceaf25000d141f5c,100110v100111,0.5,0.75,0.5,0.75,0.5,high,Persuasiveness,Usefulness,1
171,570e14beceaf25000d141f5c,100111v110111,0.5,0.75,0.5,0.75,0.5,high,Length,Trustworthiness,1
172,570e14beceaf25000d141f5c,100111v110111,0.5,0.75,0.5,0.75,0.5,high,Length,Transparency,1
173,570e14beceaf25000d141f5c,100111v110111,0.5,0.75,0.5,0.75,0.5,high,Length,Usefulness,1
174,570e14beceaf25000d141f5c,110010v110011,0.5,0.75,0.5,0.75,0.5,high,Persuasiveness,Trustworthiness,1
175,570e14beceaf25000d141f5c,110010v110011,0.5,0.75,0.5,0.75,0.5,high,Persuasiveness,Transparency,1
176,570e14beceaf25000d141f5c,110010v110011,0.5,0.75,0.5,0.75,0.5,high,Persuasiveness,Usefulness,1
177,570e14beceaf25000d141f5c,110110v111110,0.5,0.75,0.5,0.75,0.5,high,Structure,Trustworthiness,1
178,570e14beceaf25000d141f5c,110110v111110,0.5,0.75,0.5,0.75,0.5,high,Structure,Transparency,1
179,570e14beceaf25000d141f5c,110110v111110,0.5,0.75,0.5,0.75,0.5,high,Structure,Usefulness,1
180,5731e0665b8b06000f7e359f,000001v001001,0.5,0.5,0.9166666666666666,0.875,0.4375,low,Structure,Trustworthiness,0
181,5731e0665b8b06000f7e359f,000001v001001,0.5,0.5,0.9166666666666666,0.875,0.4375,low,Structure,Transparency,0
182,5731e0665b8b06000f7e359f,000001v001001,0.5,0.5,0.9166666666666666,0.875,0.4375,low,Structure,Usefulness,0
183,5731e0665b8b06000f7e359f,000001v000011,0.5,0.5,0.9166666666666666,0.875,0.4375,low,Detail,Trustworthiness,1
184,5731e0665b8b06000f7e359f,000001v000011,0.5,0.5,0.9166666666666666,0.875,0.4375,low,Detail,Transparency,1
185,5731e0665b8b06000f7e359f,000001v000011,0.5,0.5,0.9166666666666666,0.875,0.4375,low,Detail,Usefulness,1
186,5731e0665b8b06000f7e359f,010000v010010,0.5,0.5,0.9166666666666666,0.875,0.4375,low,Detail,Trustworthiness,0
187,5731e0665b8b06000f7e359f,010000v010010,0.5,0.5,0.9166666666666666,0.875,0.4375,low,Detail,Transparency,0
188,5731e0665b8b06000f7e359f,010000v010010,0.5,0.5,0.9166666666666666,0.875,0.4375,low,Detail,Usefulness,0
189,5731e0665b8b06000f7e359f,010010v010110,0.5,0.5,0.9166666666666666,0.875,0.4375,low,Formality,Trustworthiness,0
190,5731e0665b8b06000f7e359f,010010v010110,0.5,0.5,0.9166666666666666,0.875,0.4375,low,Formality,Transparency,0
191,5731e0665b8b06000f7e359f,010010v010110,0.5,0.5,0.9166666666666666,0.875,0.4375,low,Formality,Usefulness,0
192,5731e0665b8b06000f7e359f,010110v010111,0.5,0.5,0.9166666666666666,0.875,0.4375,low,Persuasiveness,Trustworthiness,0
193,5731e0665b8b06000f7e359f,010110v010111,0.5,0.5,0.9166666666666666,0.875,0.4375,low,Persuasiveness,Transparency,1
194,5731e0665b8b06000f7e359f,010110v010111,0.5,0.5,0.9166666666666666,0.875,0.4375,low,Persuasiveness,Usefulness,0
195,5731e0665b8b06000f7e359f,100110v110110,0.5,0.5,0.9166666666666666,0.875,0.4375,high,Length,Trustworthiness,1
196,5731e0665b8b06000f7e359f,100110v110110,0.5,0.5,0.9166666666666666,0.875,0.4375,high,Length,Transparency,1
197,5731e0665b8b06000f7e359f,100110v110110,0.5,0.5,0.9166666666666666,0.875,0.4375,high,Length,Usefulness,1
198,5731e0665b8b06000f7e359f,101001v111001,0.5,0.5,0.9166666666666666,0.875,0.4375,high,Length,Trustworthiness,1
199,5731e0665b8b06000f7e359f,101001v111001,0.5,0.5,0.9166666666666666,0.875,0.4375,high,Length,Transparency,1
200,5731e0665b8b06000f7e359f,101001v111001,0.5,0.5,0.9166666666666666,0.875,0.4375,high,Length,Usefulness,1
201,5731e0665b8b06000f7e359f,110010v110110,0.5,0.5,0.9166666666666666,0.875,0.4375,high,Formality,Trustworthiness,1
202,5731e0665b8b06000f7e359f,110010v110110,0.5,0.5,0.9166666666666666,0.875,0.4375,high,Formality,Transparency,1
203,5731e0665b8b06000f7e359f,110010v110110,0.5,0.5,0.9166666666666666,0.875,0.4375,high,Formality,Usefulness,1
204,5731e0665b8b06000f7e359f,110110v111110,0.5,0.5,0.9166666666666666,0.875,0.4375,high,Structure,Trustworthiness,0
205,5731e0665b8b06000f7e359f,110110v111110,0.5,0.5,0.9166666666666666,0.875,0.4375,high,Structure,Transparency,0
206,5731e0665b8b06000f7e359f,110110v111110,0.5,0.5,0.9166666666666666,0.875,0.4375,high,Structure,Usefulness,0
207,5731e0665b8b06000f7e359f,110101v110111,0.5,0.5,0.9166666666666666,0.875,0.4375,high,Detail,Trustworthiness,1
208,5731e0665b8b06000f7e359f,110101v110111,0.5,0.5,0.9166666666666666,0.875,0.4375,high,Detail,Transparency,1
209,5731e0665b8b06000f7e359f,110101v110111,0.5,0.5,0.9166666666666666,0.875,0.4375,high,Detail,Usefulness,1
210,5a1aae2e10f454000177bb97,000001v000011,0.5,0.375,0.75,0.5625,0.3125,low,Detail,Trustworthiness,0
211,5a1aae2e10f454000177bb97,000001v000011,0.5,0.375,0.75,0.5625,0.3125,low,Detail,Transparency,1
212,5a1aae2e10f454000177bb97,000001v000011,0.5,0.375,0.75,0.5625,0.3125,low,Detail,Usefulness,1
213,5a1aae2e10f454000177bb97,000011v010011,0.5,0.375,0.75,0.5625,0.3125,low,Length,Trustworthiness,1
214,5a1aae2e10f454000177bb97,000011v010011,0.5,0.375,0.75,0.5625,0.3125,low,Length,Transparency,1
215,5a1aae2e10f454000177bb97,000011v010011,0.5,0.375,0.75,0.5625,0.3125,low,Length,Usefulness,1
216,5a1aae2e10f454000177bb97,001000v001001,0.5,0.375,0.75,0.5625,0.3125,low,Persuasiveness,Trustworthiness,0
217,5a1aae2e10f454000177bb97,001000v001001,0.5,0.375,0.75,0.5625,0.3125,low,Persuasiveness,Transparency,0
218,5a1aae2e10f454000177bb97,001000v001001,0.5,0.375,0.75,0.5625,0.3125,low,Persuasiveness,Usefulness,0
219,5a1aae2e10f454000177bb97,010000v011000,0.5,0.375,0.75,0.5625,0.3125,low,Structure,Trustworthiness,0
220,5a1aae2e10f454000177bb97,010000v011000,0.5,0.375,0.75,0.5625,0.3125,low,Structure,Transparency,0
221,5a1aae2e10f454000177bb97,010000v011000,0.5,0.375,0.75,0.5625,0.3125,low,Structure,Usefulness,0
222,5a1aae2e10f454000177bb97,010100v010101,0.5,0.375,0.75,0.5625,0.3125,low,Persuasiveness,Trustworthiness,0
223,5a1aae2e10f454000177bb97,010100v010101,0.5,0.375,0.75,0.5625,0.3125,low,Persuasiveness,Transparency,0
224,5a1aae2e10f454000177bb97,010100v010101,0.5,0.375,0.75,0.5625,0.3125,low,Persuasiveness,Usefulness,0
225,5a1aae2e10f454000177bb97,100001v110001,0.5,0.375,0.75,0.5625,0.3125,high,Length,Trustworthiness,0
226,5a1aae2e10f454000177bb97,100001v110001,0.5,0.375,0.75,0.5625,0.3125,high,Length,Transparency,0
227,5a1aae2e10f454000177bb97,100001v110001,0.5,0.375,0.75,0.5625,0.3125,high,Length,Usefulness,0
228,5a1aae2e10f454000177bb97,100000v100010,0.5,0.375,0.75,0.5625,0.3125,high,Detail,Trustworthiness,0
229,5a1aae2e10f454000177bb97,100000v100010,0.5,0.375,0.75,0.5625,0.3125,high,Detail,Transparency,1
230,5a1aae2e10f454000177bb97,100000v100010,0.5,0.375,0.75,0.5625,0.3125,high,Detail,Usefulness,1
231,5a1aae2e10f454000177bb97,100010v100110,0.5,0.375,0.75,0.5625,0.3125,high,Formality,Trustworthiness,1
232,5a1aae2e10f454000177bb97,100010v100110,0.5,0.375,0.75,0.5625,0.3125,high,Formality,Transparency,1
233,5a1aae2e10f454000177bb97,100010v100110,0.5,0.375,0.75,0.5625,0.3125,high,Formality,Usefulness,1
234,5a1aae2e10f454000177bb97,100100v100110,0.5,0.375,0.75,0.5625,0.3125,high,Detail,Trustworthiness,0
235,5a1aae2e10f454000177bb97,100100v100110,0.5,0.375,0.75,0.5625,0.3125,high,Detail,Transparency,1
236,5a1aae2e10f454000177bb97,100100v100110,0.5,0.375,0.75,0.5625,0.3125,high,Detail,Usefulness,0
237,5a1aae2e10f454000177bb97,100110v101110,0.5,0.375,0.75,0.5625,0.3125,high,Structure,Trustworthiness,1
238,5a1aae2e10f454000177bb97,100110v101110,0.5,0.375,0.75,0.5625,0.3125,high,Structure,Transparency,1
239,5a1aae2e10f454000177bb97,100110v101110,0.5,0.375,0.75,0.5625,0.3125,high,Structure,Usefulness,1
240,5b01e69aa496b300013d5b9b,000000v001000,0.6875,0.5,0.6666666666666666,0.625,0.5,low,Structure,Trustworthiness,0
241,5b01e69aa496b300013d5b9b,000000v001000,0.6875,0.5,0.6666666666666666,0.625,0.5,low,Structure,Transparency,0
242,5b01e69aa496b300013d5b9b,000000v001000,0.6875,0.5,0.6666666666666666,0.625,0.5,low,Structure,Usefulness,0
243,5b01e69aa496b300013d5b9b,000000v010000,0.6875,0.5,0.6666666666666666,0.625,0.5,low,Length,Trustworthiness,1
244,5b01e69aa496b300013d5b9b,000000v010000,0.6875,0.5,0.6666666666666666,0.625,0.5,low,Length,Transparency,1
245,5b01e69aa496b300013d5b9b,000000v010000,0.6875,0.5,0.6666666666666666,0.625,0.5,low,Length,Usefulness,1
246,5b01e69aa496b300013d5b9b,000110v010110,0.6875,0.5,0.6666666666666666,0.625,0.5,low,Length,Trustworthiness,1
247,5b01e69aa496b300013d5b9b,000110v010110,0.6875,0.5,0.6666666666666666,0.625,0.5,low,Length,Transparency,1
248,5b01e69aa496b300013d5b9b,000110v010110,0.6875,0.5,0.6666666666666666,0.625,0.5,low,Length,Usefulness,1
249,5b01e69aa496b300013d5b9b,011000v011100,0.6875,0.5,0.6666666666666666,0.625,0.5,low,Formality,Trustworthiness,1
250,5b01e69aa496b300013d5b9b,011000v011100,0.6875,0.5,0.6666666666666666,0.625,0.5,low,Formality,Transparency,0
251,5b01e69aa496b300013d5b9b,011000v011100,0.6875,0.5,0.6666666666666666,0.625,0.5,low,Formality,Usefulness,0
252,5b01e69aa496b300013d5b9b,011101v011111,0.6875,0.5,0.6666666666666666,0.625,0.5,low,Detail,Trustworthiness,0
253,5b01e69aa496b300013d5b9b,011101v011111,0.6875,0.5,0.6666666666666666,0.625,0.5,low,Detail,Transparency,1
254,5b01e69aa496b300013d5b9b,011101v011111,0.6875,0.5,0.6666666666666666,0.625,0.5,low,Detail,Usefulness,0
255,5b01e69aa496b300013d5b9b,100010v100011,0.6875,0.5,0.6666666666666666,0.625,0.5,high,Persuasiveness,Trustworthiness,1
256,5b01e69aa496b300013d5b9b,100010v100011,0.6875,0.5,0.6666666666666666,0.625,0.5,high,Persuasiveness,Transparency,0
257,5b01e69aa496b300013d5b9b,100010v100011,0.6875,0.5,0.6666666666666666,0.625,0.5,high,Persuasiveness,Usefulness,1
258,5b01e69aa496b300013d5b9b,100001v100101,0.6875,0.5,0.6666666666666666,0.625,0.5,high,Formality,Trustworthiness,1
259,5b01e69aa496b300013d5b9b,100001v100101,0.6875,0.5,0.6666666666666666,0.625,0.5,high,Formality,Transparency,1
260,5b01e69aa496b300013d5b9b,100001v100101,0.6875,0.5,0.6666666666666666,0.625,0.5,high,Formality,Usefulness,0
261,5b01e69aa496b300013d5b9b,100100v100110,0.6875,0.5,0.6666666666666666,0.625,0.5,high,Detail,Trustworthiness,1
262,5b01e69aa496b300013d5b9b,100100v100110,0.6875,0.5,0.6666666666666666,0.625,0.5,high,Detail,Transparency,1
263,5b01e69aa496b300013d5b9b,100100v100110,0.6875,0.5,0.6666666666666666,0.625,0.5,high,Detail,Usefulness,1
264,5b01e69aa496b300013d5b9b,111010v111011,0.6875,0.5,0.6666666666666666,0.625,0.5,high,Persuasiveness,Trustworthiness,0
